month,solar,wind,wec,accumulator,diesel,used
2020-01-01,392088698.03717846,712869369.4371299,130900635.94869116,373118951.19500023,1173535914.9599972,2782513586.9000044
2020-02-01,612416713.8153776,594906444.6720632,89348711.29455869,573779806.2000002,736826498.0499992,2607278203.500002
2020-03-01,832988057.304667,426454087.8521957,60632397.50313748,845638455.0439987,458184074.0800006,2623897081.600002
2020-04-01,833061164.2843889,330828720.4912864,43198872.88782543,777501639.4199991,264205540.4200002,2248795955.499993
2020-05-01,879870528.4866714,285265437.6984855,40536252.373343274,856485959.089998,296856387.79000014,2359014568.999995
2020-06-01,1241757768.8852496,35243434.69398289,6196665.1987669915,932318912.9499996,562400282.6000004,2777917068.600005
2020-07-01,1573207668.092938,158624696.99184313,24616976.457219224,709971157.1159999,1300324631.349998,3766745119.2000055
2020-08-01,1720714851.7308457,45181002.66032772,9565538.344826689,460250955.6100002,2083391444.0999978,4319103770.600004
2020-09-01,1270180453.1071432,105575804.81707568,23483334.823781934,472059572.0100002,1700525472.5249972,3571824637.200006
2020-10-01,797115803.2313917,241553967.15579912,33816703.24080958,662718368.4499995,952917076.2499976,2688121925.800005
2020-11-01,423327170.32995117,688801303.8811086,97986608.48793913,483708997.7900006,691688041.4599998,2385512135.799996
2020-12-01,294540010.5756564,816571756.6033722,116306428.42696965,262317003.41000012,1179540885.6299968,2669276102.4000025
